"eth","age","sex","time","zip","cases","tests"
"Black or African American","0-17",1,"1/2021","46406",0,1
"Black or African American","0-17",1,"1/2022","46322",0,1
"Black or African American","0-17",1,"10/2021","46368",0,1
"Black or African American","0-17",1,"10/2021","46409",0,1
"Black or African American","0-17",1,"10/2022","46406",0,1
"Black or African American","0-17",1,"10/2022","46410",0,1
"Black or African American","0-17",1,"11/2021","46312",0,1
"Black or African American","0-17",1,"11/2021","46368",0,1
"Black or African American","0-17",1,"11/2021","46406",0,1
"Black or African American","0-17",1,"11/2021","60411",0,1
"Black or African American","0-17",1,"11/2022","46327",0,1
"Black or African American","0-17",1,"11/2022","46341",0,1
"Black or African American","0-17",1,"11/2022","60411",0,1
"Black or African American","0-17",1,"12/2021","46322",0,1
"Black or African American","0-17",1,"12/2022","46323",0,2
"Black or African American","0-17",1,"12/2022","46403",0,1
"Black or African American","0-17",1,"12/2022","46408",0,2
"Black or African American","0-17",1,"13/2021","46405",0,1
"Black or African American","0-17",1,"13/2021","46406",0,1
"Black or African American","0-17",1,"13/2022","46342",0,1
"Black or African American","0-17",1,"14/2021","46320",0,1
"Black or African American","0-17",1,"14/2021","46360",0,2
"Black or African American","0-17",1,"14/2021","46407",0,1
"Black or African American","0-17",1,"14/2022","46312",0,2
"Black or African American","0-17",1,"15/2021","46406",0,1
"Black or African American","0-17",1,"15/2022","46312",0,1
"Black or African American","0-17",1,"15/2022","46322",0,1
"Black or African American","0-17",1,"15/2022","46323",0,1
"Black or African American","0-17",1,"15/2022","46368",0,1
"Black or African American","0-17",1,"15/2022","46404",0,1
"Black or African American","0-17",1,"16/2021","46312",0,1
"Black or African American","0-17",1,"16/2021","46375",0,1
"Black or African American","0-17",1,"16/2022","46324",0,1
"Black or African American","0-17",1,"16/2022","46410",0,1
"Black or African American","0-17",1,"17/2021","46307",0,1
"Black or African American","0-17",1,"17/2021","46342",0,1
"Black or African American","0-17",1,"17/2021","46356",0,1
"Black or African American","0-17",1,"17/2022","46406",0,1
"Black or African American","0-17",1,"18/2021","46320",0,1
"Black or African American","0-17",1,"18/2021","46410",0,1
"Black or African American","0-17",1,"18/2022","46307",0,1
"Black or African American","0-17",1,"18/2022","46319",0,1
"Black or African American","0-17",1,"18/2022","46320",0,2
"Black or African American","0-17",1,"18/2022","46322",0,1
"Black or African American","0-17",1,"19/2021","46312",0,1
"Black or African American","0-17",1,"19/2022","46341",0,1
"Black or African American","0-17",1,"2/2021","60409",0,1
"Black or African American","0-17",1,"2/2022","46307",0,1
"Black or African American","0-17",1,"2/2022","46323",0,1
"Black or African American","0-17",1,"2/2022","46342",1,1
